cid,chemicalid,chemicalname,genesymbol,geneid,taxname,taxid,interaction,pmids
784,D006861,Hydrogen Peroxide,PPARG,5468,Homo sapiens,9606,Hydrogen Peroxide affects the expression of PPARG mRNA,20044591
784,D006861,Hydrogen Peroxide,PPARG,5468,Homo sapiens,9606,Hydrogen Peroxide results in decreased expression of PPARG protein,27417252|34499403
784,D006861,Hydrogen Peroxide,PPARG,5468,Homo sapiens,9606,Hydrogen Peroxide results in increased degradation of PPARG protein|Polysaccharides inhibits the reaction [Hydrogen Peroxide results in increased degradation of PPARG protein]|Plant Extracts inhibits the reaction [Hydrogen Peroxide results in increased degradation of PPARG protein],25305479
784,D006861,Hydrogen Peroxide,PPARG,5468,Homo sapiens,9606,Hydrogen Peroxide results in increased expression of PPARG mRNA|myricitrin inhibits the reaction [Hydrogen Peroxide results in increased expression of PPARG mRNA],25130202
784,D006861,Hydrogen Peroxide,PPARG,5468,Homo sapiens,9606,Hydrogen Peroxide results in increased phosphorylation of and results in decreased activity of PPARG protein,17030193
784,D006861,Hydrogen Peroxide,PPARG,5468,Mus musculus,10090,PPARG gene polymorphism results in decreased abundance of Hydrogen Peroxide|PPARG protein affects the abundance of Hydrogen Peroxide,18083318
784,D006861,Hydrogen Peroxide,PPARG,5468,Rattus norvegicus,10116,Hydrogen Peroxide results in decreased expression of PPARG protein|stearic acid inhibits the reaction [Hydrogen Peroxide results in decreased expression of PPARG protein],17302992
864,D008063,Thioctic Acid,PPARG,5468,Rattus norvegicus,10116,[Thioctic Acid co-treated with Dietary Fats] results in increased expression of PPARG mRNA,22464149
880,D011765,Pyruvaldehyde,PPARG,5468,Rattus norvegicus,10116,"PPARG mutant form inhibits the reaction [monascin inhibits the reaction [Pyruvaldehyde results in increased expression of TNF protein]]|PPARG mutant form inhibits the reaction [Rosiglitazone inhibits the reaction [Pyruvaldehyde results in increased expression of TNF protein]]|PPARG mutant form inhibits the reaction [Rosiglitazone inhibits the reaction [Pyruvaldehyde results in increased expression of IL1B protein]]|PPARG mutant form inhibits the reaction [monascin inhibits the reaction [Pyruvaldehyde results in increased expression of IL1B protein]]|PPARG mutant form inhibits the reaction [monascin inhibits the reaction [Pyruvaldehyde results in decreased uptake of 2-(N-(7-nitrobenz-2-oxa-1,3-diazol-4-yl)amino)-2-deoxyglucose]]|PPARG mutant form inhibits the reaction [Rosiglitazone inhibits the reaction [Pyruvaldehyde results in decreased uptake of 2-(N-(7-nitrobenz-2-oxa-1,3-diazol-4-yl)amino)-2-deoxyglucose]]",23954466
896,D008550,Melatonin,PPARG,5468,Homo sapiens,9606,Pioglitazone promotes the reaction [Melatonin results in increased expression of PPARG protein]|Melatonin results in increased expression of PPARG protein|Melatonin promotes the reaction [Pioglitazone results in increased expression of PPARG protein]|GW 1929 inhibits the reaction [Melatonin results in increased expression of PPARG protein]|luzindole inhibits the reaction [Melatonin results in increased expression of PPARG protein],29734669
896,D008550,Melatonin,PPARG,5468,Homo sapiens,9606,Melatonin results in decreased expression of PPARG mRNA,20738756
896,D008550,Melatonin,PPARG,5468,Homo sapiens,9606,Melatonin results in increased expression of PPARG mRNA,33962019
896,D008550,Melatonin,PPARG,5468,Mus musculus,10090,Melatonin inhibits the reaction [Cisplatin results in decreased expression of PPARG protein],34428482
896,D008550,Melatonin,PPARG,5468,Sus scrofa,9823,Melatonin inhibits the reaction [Malathion results in decreased expression of PPARG protein]|Melatonin inhibits the reaction [Malathion results in decreased expression of PPARG mRNA],31535366
932,C005273,naringenin,PPARG,5468,Mus musculus,10090,naringenin inhibits the reaction [Glucose results in decreased expression of PPARG protein]|HET0016 inhibits the reaction [naringenin inhibits the reaction [Glucose results in decreased expression of PPARG protein]]|naringenin inhibits the reaction [[Streptozocin co-treated with Dietary Fats co-treated with Carboxymethylcellulose Sodium] results in decreased expression of PPARG protein],31063766
932,C005273,naringenin,PPARG,5468,Rattus norvegicus,10116,naringenin inhibits the reaction [Streptozocin results in decreased expression of PPARG mRNA]|naringenin inhibits the reaction [Streptozocin results in decreased expression of PPARG protein],29223569
935,D009532,Nickel,PPARG,5468,Homo sapiens,9606,Nickel results in decreased expression of PPARG mRNA,24768652|25583101
936,D009536,Niacinamide,PPARG,5468,Canis lupus familiaris,9615,Niacinamide results in increased expression of PPARG protein|Niacinamide affects the reaction [PPARG protein binds to NCOR1 protein]|[Resveratrol results in decreased acetylation of RUNX2 protein] inhibits the reaction [Niacinamide results in increased expression of PPARG]|Resveratrol inhibits the reaction [Niacinamide results in increased expression of PPARG protein]|[Resveratrol promotes the reaction [SIRT1 protein binds to RUNX2 protein]] inhibits the reaction [Niacinamide results in increased expression of PPARG],22539994
936,D009536,Niacinamide,PPARG,5468,Sus scrofa,9823,Niacinamide results in increased expression of PPARG mRNA,17851734
938,D009525,Niacin,PPARG,5468,Homo sapiens,9606,HCAR2 protein promotes the reaction [Niacin results in increased expression of and results in increased activity of PPARG protein]|4-benzhydryloxy-1-(3-(1H-tetrazol-5-yl-)-propyl)piperidine inhibits the reaction [Niacin results in increased activity of PPARG protein]|PTGS1 protein promotes the reaction [Niacin results in increased activity of PPARG protein]|PTGDS protein promotes the reaction [Niacin results in increased activity of PPARG protein]|HCAR3 protein promotes the reaction [Niacin results in increased activity of PPARG protein]|Aspirin inhibits the reaction [Niacin results in increased activity of PPARG protein],16386710
938,D009525,Niacin,PPARG,5468,Homo sapiens,9606,Niacin results in increased expression of and results in increased activity of PPARG protein,15037193|16386710
938,D009525,Niacin,PPARG,5468,Homo sapiens,9606,Niacin results in increased expression of PPARG mRNA,15037193|19131065|24767308
938,D009525,Niacin,PPARG,5468,Homo sapiens,9606,PPARG protein promotes the reaction [Niacin results in increased expression of NR1H3 mRNA],15037193
938,D009525,Niacin,PPARG,5468,Mus musculus,10090,fluprostenol inhibits the reaction [Niacin results in increased expression of PPARG mRNA]|[Niacin results in decreased abundance of Dinoprost] which results in increased expression of PPARG mRNA|[Niacin results in decreased abundance of Dinoprost] which results in increased expression of PPARG protein,21236357
938,D009525,Niacin,PPARG,5468,Mus musculus,10090,PPARG protein promotes the reaction [Niacin promotes the reaction [APOA1 protein results in increased export of Cholesterol]]|PPARG protein promotes the reaction [Niacin results in increased expression of NR1H3 mRNA]|PPARG protein promotes the reaction [Niacin results in increased expression of ABCA1 mRNA]|Niacin results in increased expression of PPARG mRNA,19797938
938,D009525,Niacin,PPARG,5468,Oryctolagus cuniculus,9986,Niacin inhibits the reaction [Cholesterol results in decreased expression of PPARG mRNA],18402819
938,D009525,Niacin,PPARG,5468,Oryctolagus cuniculus,9986,[Niacin results in increased expression of PPARG mRNA] which results in increased export of Cholesterol|Niacin results in increased expression of PPARG mRNA,17395297|17963637
977,D010100,Oxygen,PPARG,5468,Homo sapiens,9606,Oxygen deficiency affects the activity of PPARG protein,25596134
977,D010100,Oxygen,PPARG,5468,Homo sapiens,9606,Oxygen deficiency results in decreased expression of PPARG protein,19520921
977,D010100,Oxygen,PPARG,5468,Homo sapiens,9606,Oxygen deficiency results in increased expression of PPARG mRNA,26516004
977,D010100,Oxygen,PPARG,5468,Mus musculus,10090,[Dexamethasone co-treated with Oxygen deficiency] results in increased expression of PPARG mRNA alternative form,16814746
977,D010100,Oxygen,PPARG,5468,Mus musculus,10090,Oxygen deficiency results in decreased expression of PPARG protein|Rosiglitazone inhibits the reaction [Oxygen deficiency results in decreased expression of PPARG mRNA]|Oxygen deficiency results in decreased expression of PPARG mRNA|Rosiglitazone inhibits the reaction [Oxygen deficiency results in decreased expression of PPARG protein],21531777
977,D010100,Oxygen,PPARG,5468,Mus musculus,10090,[Resveratrol co-treated with Oxygen deficiency] results in increased expression of PPARG protein|Oxygen deficiency results in increased expression of PPARG protein,21113404
977,D010100,Oxygen,PPARG,5468,Mus musculus,10090,Oxygen results in increased expression of PPARG mRNA,22535284
977,D010100,Oxygen,PPARG,5468,Rattus norvegicus,10116,"2,2-bis(4-glycidyloxyphenyl)propane inhibits the reaction [ursolic acid inhibits the reaction [[Oxygen deficiency co-treated with Blood Glucose deficiency] results in decreased expression of PPARG protein]]|ursolic acid inhibits the reaction [[Oxygen deficiency co-treated with Blood Glucose deficiency] results in decreased expression of PPARG protein]",27274199
977,D010100,Oxygen,PPARG,5468,Rattus norvegicus,10116,Rosiglitazone inhibits the reaction [Oxygen results in decreased expression of PPARG protein]|Rosiglitazone inhibits the reaction [Oxygen results in decreased expression of PPARG mRNA]|2-chloro-5-nitrobenzanilide inhibits the reaction [Rosiglitazone inhibits the reaction [Oxygen results in decreased expression of PPARG protein]]|Oxygen results in decreased expression of PPARG protein|Oxygen results in decreased expression of PPARG mRNA|2-chloro-5-nitrobenzanilide inhibits the reaction [Rosiglitazone inhibits the reaction [Oxygen results in decreased expression of PPARG mRNA]],16617452
977,D010100,Oxygen,PPARG,5468,Rattus norvegicus,10116,Mifepristone inhibits the reaction [[Oxygen deficiency co-treated with Blood Glucose deficiency] results in decreased expression of PPARG protein],30229846
977,D010100,Oxygen,PPARG,5468,Rattus norvegicus,10116,[Oxygen deficiency co-treated with Blood Glucose deficiency] results in decreased expression of PPARG protein,27274199|30229846
985,D010168,Palmitates,PPARG,5468,Homo sapiens,9606,Exenatide inhibits the reaction [Palmitates results in increased expression of PPARG mRNA]|Palmitates results in increased expression of PPARG mRNA,30253173
985,D010168,Palmitates,PPARG,5468,Rattus norvegicus,10116,Palmitates results in increased expression of PPARG mRNA|Rosiglitazone inhibits the reaction [Palmitates results in increased expression of PPARG mRNA],16620699
985,D019308,Palmitic Acid,PPARG,5468,Homo sapiens,9606,trigonelline inhibits the reaction [Palmitic Acid results in increased expression of PPARG protein]|Palmitic Acid results in increased expression of PPARG protein|ATG7 protein affects the reaction [trigonelline inhibits the reaction [Palmitic Acid results in increased expression of PPARG protein]],30208301
985,D019308,Palmitic Acid,PPARG,5468,Homo sapiens,9606,[osteum co-treated with Palmitic Acid co-treated with Glucose co-treated with INS protein co-treated with TNF protein co-treated with IL1B protein co-treated with TNF protein] affects the expression of PPARG mRNA,32613381
985,D019308,Palmitic Acid,PPARG,5468,Mus musculus,10090,[sodium arsenite co-treated with Palmitic Acid co-treated with 1-Methyl-3-isobutylxanthine co-treated with Dexamethasone co-treated with INS1 protein] results in decreased expression of PPARG mRNA|[Palmitic Acid co-treated with sodium arsenite] results in decreased expression of PPARG mRNA,34968464
985,D019308,Palmitic Acid,PPARG,5468,Mus musculus,10090,Palmitic Acid results in increased expression of PPARG mRNA,18154422
985,D019308,Palmitic Acid,PPARG,5468,Rattus norvegicus,10116,Salicylic Acid inhibits the reaction [Palmitic Acid results in decreased expression of PPARG mRNA]|Metformin inhibits the reaction [Palmitic Acid results in decreased expression of PPARG mRNA]|Resveratrol inhibits the reaction [Palmitic Acid results in decreased expression of PPARG mRNA]|AICA ribonucleotide inhibits the reaction [Palmitic Acid results in decreased expression of PPARG mRNA]|Palmitic Acid results in decreased expression of PPARG mRNA,25108154
985,D019308,Palmitic Acid,PPARG,5468,Rattus norvegicus,10116,Ethanol inhibits the reaction [[Oleic Acid co-treated with Palmitic Acid] results in increased expression of PPARG mRNA]|[Oleic Acid co-treated with Palmitic Acid] inhibits the reaction [Ethanol results in increased expression of PPARG mRNA],26854922
985,D019308,Palmitic Acid,PPARG,5468,Rattus norvegicus,10116,[Oleic Acid co-treated with Palmitic Acid] results in increased expression of PPARG mRNA,25048947|26190035|26854922
985,D019308,Palmitic Acid,PPARG,5468,Rattus norvegicus,10116,Triiodothyronine inhibits the reaction [[Oleic Acid co-treated with Palmitic Acid] results in increased expression of PPARG mRNA]|tetrabromobisphenol A inhibits the reaction [[Oleic Acid co-treated with Palmitic Acid] results in increased expression of PPARG mRNA],25048947
992,D010416,Pentachlorophenol,PPARG,5468,Danio rerio,7955,Pentachlorophenol results in increased expression of PPARG mRNA,27181905
996,D019800,Phenol,PPARG,5468,Homo sapiens,9606,Phenol results in increased expression of PPARG mRNA,17547211
1017,C032279,phthalic acid,PPARG,5468,Homo sapiens,9606,phthalic acid binds to PPARG protein,23843199
1048,C031280,pyrazole,PPARG,5468,Mus musculus,10090,pyrazole results in increased expression of PPARG mRNA,17945193
1066,D017378,Quinolinic Acid,PPARG,5468,Rattus norvegicus,10116,Quinolinic Acid results in decreased expression of PPARG mRNA|naringin inhibits the reaction [Quinolinic Acid results in decreased expression of PPARG mRNA]|Pioglitazone inhibits the reaction [Quinolinic Acid results in decreased expression of PPARG mRNA]|[naringin co-treated with Pioglitazone] inhibits the reaction [Quinolinic Acid results in decreased expression of PPARG mRNA],30130594
1089,D064586,Selenic Acid,PPARG,5468,Mus musculus,10090,Selenic Acid results in increased expression of PPARG mRNA,16443359
1119,D013458,Sulfur Dioxide,PPARG,5468,Mus musculus,10090,PPARG protein affects the reaction [glyceryl 2-arachidonate inhibits the reaction [Sulfur Dioxide results in increased phosphorylation of RELA protein]]|JZL 184 inhibits the reaction [Sulfur Dioxide results in decreased expression of PPARG protein]|PPARG protein affects the reaction [glyceryl 2-arachidonate inhibits the reaction [Sulfur Dioxide results in increased expression of PTGS2 protein]]|Sulfur Dioxide results in decreased expression of PPARG protein|glyceryl 2-arachidonate inhibits the reaction [Sulfur Dioxide results in decreased expression of PPARG protein],26209559
1123,D013654,Taurine,PPARG,5468,Homo sapiens,9606,Taurine inhibits the reaction [Arsenic Trioxide results in decreased expression of PPARG protein],30362509
1123,D013654,Taurine,PPARG,5468,Rattus norvegicus,10116,Taurine inhibits the reaction [sodium arsenite results in decreased expression of PPARG protein],30551535
1130,D013831,Thiamine,PPARG,5468,Rattus norvegicus,10116,Thiamine results in increased activity of PPARG protein|Thiamine inhibits the reaction [citreoviridin results in decreased activity of PPARG protein],31419397
1322,D019813,"1,2-Dimethylhydrazine",PPARG,5468,Mus musculus,10090,"1,2-Dimethylhydrazine results in decreased expression of PPARG mRNA|[1,2-Dimethylhydrazine co-treated with Folic Acid] results in decreased expression of PPARG mRNA",22206623
1483,C004554,"2,4,6-tribromophenol",PPARG,5468,Homo sapiens,9606,"2,4,6-tribromophenol binds to PPARG protein",25314719
1645,C025160,3-aminobenzamide,PPARG,5468,Rattus norvegicus,10116,3-aminobenzamide results in decreased ADP-ribosylation of PPARG protein|3-aminobenzamide results in increased activity of PPARG protein|3-aminobenzamide inhibits the reaction [NAD results in decreased activity of PPARG protein],18815186
1752,C041594,4-nonylphenol,PPARG,5468,Rattus norvegicus,10116,4-nonylphenol results in increased expression of PPARG mRNA,24388992
1983,D000082,Acetaminophen,PPARG,5468,Homo sapiens,9606,Acetaminophen results in decreased expression of PPARG mRNA,26690555
1983,D000082,Acetaminophen,PPARG,5468,Homo sapiens,9606,Acetaminophen results in increased expression of PPARG mRNA,29067470
1983,D000082,Acetaminophen,PPARG,5468,Mus musculus,10090,Acetaminophen affects the expression of PPARG mRNA,17562736
1983,D000082,Acetaminophen,PPARG,5468,Rattus norvegicus,10116,Acetaminophen affects the expression of PPARG mRNA,16701773
1988,C043377,acetochlor,PPARG,5468,Danio rerio,7955,acetochlor binds to and results in increased activity of PPARG protein|acetochlor binds to and results in decreased activity of PPARG protein,33049310
2051,C101044,RTKI cpd,PPARG,5468,Homo sapiens,9606,RTKI cpd inhibits the reaction [bisphenol A results in increased expression of PPARG mRNA],31075703
2148,D011084,Polycyclic Aromatic Hydrocarbons,PPARG,5468,Mus musculus,10090,Polycyclic Aromatic Hydrocarbons results in increased expression of PPARG mRNA|Polycyclic Aromatic Hydrocarbons results in decreased methylation of PPARG gene,25347678
2153,D013806,Theophylline,PPARG,5468,Homo sapiens,9606,Theophylline results in increased expression of PPARG protein|Theophylline results in increased expression of PPARG mRNA,16569937
2157,D000638,Amiodarone,PPARG,5468,Homo sapiens,9606,"Amiodarone results in increased expression of PPARG mRNA|[2-chloro-5-nitrobenzanilide results in decreased activity of PPARG protein] inhibits the reaction [Amiodarone results in increased expression of FADS2 mRNA]|[2-chloro-5-nitrobenzanilide results in decreased activity of PPARG protein] inhibits the reaction [Amiodarone results in increased expression of SCD mRNA]|[2-chloro-5-nitrobenzanilide results in decreased activity of PPARG protein] inhibits the reaction [Amiodarone results in increased uptake of 1-acyl-2-(12-((7-nitrobenz-2-oxa-1,3-diazol-4-yl)amino)dodecanoyl)phosphatidylcholine]",21123845
2157,D000638,Amiodarone,PPARG,5468,Homo sapiens,9606,Amiodarone binds to and results in increased activity of PPARG protein,24489787
2244,D001241,Aspirin,PPARG,5468,Homo sapiens,9606,Aspirin inhibits the reaction [Niacin results in increased activity of PPARG protein],16386710
2244,D001241,Aspirin,PPARG,5468,Homo sapiens,9606,Aspirin results in decreased activity of PPARG protein,15646027
2244,D001241,Aspirin,PPARG,5468,Homo sapiens,9606,Aspirin results in increased expression of PPARG,18971601
2244,D001241,Aspirin,PPARG,5468,Homo sapiens,9606,Aspirin results in increased expression of PPARG protein|Aspirin results in increased expression of PPARG mRNA,19880272
2244,D001241,Aspirin,PPARG,5468,Mus musculus,10090,Aspirin results in increased expression of PPARG mRNA,19462226
2244,D001241,Aspirin,PPARG,5468,Rattus norvegicus,10116,Aspirin results in decreased expression of PPARG mRNA,18222077
2256,D001280,Atrazine,PPARG,5468,Cyprinus carpio,7962,Atrazine results in decreased expression of PPARG mRNA,31315571
2256,D001280,Atrazine,PPARG,5468,Homo sapiens,9606,[Atrazine co-treated with Arsenates] results in increased expression of PPARG mRNA,18585445
2256,D001280,Atrazine,PPARG,5468,Mus musculus,10090,Atrazine promotes the reaction [[lard co-treated with Cholesterol co-treated with Sucrose] results in increased expression of PPARG mRNA],24440342
2266,C010038,azelaic acid,PPARG,5468,Homo sapiens,9606,azelaic acid results in increased activity of PPARG protein|azelaic acid results in increased expression of PPARG mRNA,20545756
2268,D001387,Azinphosmethyl,PPARG,5468,Homo sapiens,9606,Azinphosmethyl binds to and results in increased activity of PPARG protein,33049310
